ID,Meal_id,Language,Name
1,1,en,Cup of semi-skimmed milk (or vegetable drink) with brown puffed rice pancakes and banana
2,2,en,"Fruit and seed salad, and plain yoghurt"
3,3,en,"Whole wheat fajita with avocado and cheese, and natural orange juice"
4,4,en,Porridge with seasonal fruits
5,5,en,"Whole grain cereal bowl with milk (or vegetable drink), and blackberries"
6,6,en,"Yoghurt plain, and wholemeal toast with hummus and alvocado"
7,7,en,"Cup of semi-skimmed milk (or vegetable drink) with coffee, and whole wheat toast with peanut butter and banana "
8,8,en,Kefir with apple and walnuts
9,9,en,"Wholemeal toast with olive oil and fresh cheese, and peach"
10,10,en,"Cup of semi-skimmed milk (or vegetable drink) with coffee, and pancakes whole-wheat with strawberries and dark chocolate"
11,11,en,"Wholemeal bread slice with French omelette, plain yoghur with mandarin"
12,12,en,"Glass of kefir with chia seeds and pieces of kiwi, and multigrain rusk"
13,13,en,"Cup of semi-skimmed milk (or vegetable drink) with pure cocoa powder, and whole-grain rusk with soft-bolied egg and grapes"
14,14,en,"Greek-style yoghurt with fresh apricot chunks, and brown puffed rice pancakes"
15,15,en,"Cup of semi-skimmed milk (or vegetable drink) with coffee, and turkey, apple and rocket sandwich"
16,16,en,"Cup of semi-skimmed milk (or vegetable drink) with cinnamon powder, and wholemeal toast with tomato and natural tuna"
17,17,en,"Tangerine, banana and semi-skimmed milk milkshake, and whole-wheat bread with olive oil"
18,18,en,Yoghurt plain with baked apple pieces with cinnamon and chia seeds
19,19,en,"Cup of semi-skimmed milk (or vegetable drink), and wholemeal bread slice with olive oil, soft boiled egg, and grapes"
20,20,en,Yoghurt plain with blueberries and oatmeal
21,21,en,Kefir with strawberries and nuts mix
22,22,en,Yoghurt plain and nuts mix
23,23,en,Yoghurt Greekstyle with chia seeds and banana
24,24,en,Whole-wheat bread sticks with fresh cheese and tangerine
25,25,en,"Whole wheat fajita with avocado and fresh cheese, and cherries"
26,26,en,Whole wheat toast with peanut butter and apple
27,27,en,"Fruit and seed salad, and brown puffed rice pancakes"
28,28,en,"Whole-wheat cracker toast with apple, cinnamon compote and fresh cheese"
29,29,en,"Whole-wheat bread sticks with lentil spread, and pineapple slices"
30,30,en,"Turkey, apple and rocket sandwich"
31,31,en,"Vegetable salad, Baked chicken thighs with potatoes and Pear"
